Time,Output Voltage,DS Voltage
11.155079,12.0,10.38733642578125
11.164733,12.0,10.38733642578125
11.173035,12.0,10.406183837890625
11.184551,12.0,10.406183837890625
11.192448,12.0,10.36220654296875
11.203347,12.0,10.42503125
11.214347,12.0,10.431313720703125
11.225367,12.0,10.431313720703125
11.233324,12.0,10.393618896484375
11.243849,12.0,10.41246630859375
11.253553,12.0,10.393618896484375
11.264269,12.0,10.393618896484375
11.272969,12.0,10.406183837890625
11.285226,12.0,10.355924072265625
11.29265,12.0,10.355924072265625
11.304353,12.0,10.393618896484375
11.314832,12.0,10.38733642578125
11.325718,12.0,10.418748779296875
11.350567,12.0,10.355924072265625
11.352213,12.0,10.38733642578125
11.353111,12.0,10.374771484375
11.365935,12.0,10.38733642578125
11.376977,12.0,10.32451171875
11.385276,12.0,10.280534423828124
11.393315,12.0,10.374771484375
11.405257,12.0,10.31194677734375
11.412663,12.0,10.286816894531249
11.423526,12.0,10.3496416015625
11.433125,12.0,10.2993818359375
11.444273,12.0,10.267969482421874
11.456907,12.0,10.217709716796875
11.464463,12.0,10.21142724609375
11.475567,12.0,10.192579833984375
11.483229,12.0,10.12347265625
11.493153,12.0,10.180014892578125
11.503014,12.0,10.142320068359375
11.514485,12.0,10.173732421875
11.524747,12.0,10.16116748046875
11.534792,12.0,10.0983427734375
11.54314,12.0,10.0983427734375
11.556955,12.0,10.104625244140625
11.565253,11.096347689950326,10.154885009765625
11.577797,11.324699040625209,10.154885009765625
11.584661,9.474089205927111,10.494138427734375
11.595372,9.94160402467181,10.827109375
11.603937,9.83119165314055,10.76428466796875
11.614742,8.190089424952472,10.8522392578125
11.625322,8.604914165994407,11.16636279296875
11.638183,6.910378685255481,11.4553564453125
11.644153,5.831121575944077,11.49305126953125
11.655645,6.105180321348853,11.700372802734375
11.678398,6.036746182234621,11.612418212890624
11.68897,3.6954306976484563,11.599853271484374
11.700156,4.287230657680659,11.913976806640624
11.70698,3.1815578916443243,11.92025927734375
11.708691,3.460561615234705,11.89512939453125
11.713856,3.3908963846569344,11.93282421875
11.725391,3.4082897346064467,11.99564892578125
11.738067,2.611411803123233,12.064756103515625
11.755782,2.3025710999441857,12.071038574218749
11.764442,2.1402934378872627,12.089885986328124
11.76662,2.18158344056052,12.083603515624999
11.775613,2.171272902321276,12.089885986328124
11.791727,2.173847140652218,12.083603515624999
11.804281,2.1126202731049863,12.077321044921874
11.807387,2.172715470564558,12.089885986328124
11.8129,2.1576156571422893,12.096168457031249
11.823016,2.1613858361015814,12.071038574218749
11.833176,2.1977552982803488,12.077321044921874
11.845184,2.188595130003221,12.096168457031249
11.853273,2.2158615623973983,12.083603515624999
11.864184,2.20900052254706,12.071038574218749
11.872649,2.223677543804246,12.071038574218749
11.886318,2.219985402388644,12.064756103515625
11.894001,2.225650173246324,12.089885986328124
11.903636,2.224225704845377,12.089885986328124
11.913159,2.2245813738993396,12.064756103515625
11.924626,2.224492573866549,12.096168457031249
11.932856,2.224514744594265,12.077321044921874
11.945243,2.224509209222826,12.096168457031249
11.952652,2.2245105912404712,12.096168457031249
11.967543,2.2245102461917523,12.102450927734374
11.973923,2.22451033234016,12.096168457031249
11.985247,2.2245103108314703,12.089885986328124
11.993806,2.2245103162015556,12.083603515624999
12.00432,2.224510314860806,12.096168457031249
12.012644,2.224510315195538,12.096168457031249
12.027064,2.224510315111986,12.102450927734374
12.034489,2.224510315132834,12.108733398437499
12.045146,2.224510315127625,12.096168457031249
12.0542,2.2245103151289265,12.115015869140624
12.065263,2.2245103151285956,12.108733398437499
12.073635,2.2245103151286845,12.115015869140624
12.085397,2.2245103151286614,12.108733398437499
12.093866,2.2245103151286645,12.102450927734374
12.104079,2.224510315128664,12.115015869140624
12.117404,2.224510315128664,12.127580810546874
