Time,Position Reference,Velocity Reference
11.225367,0.48514,0.0
11.233324,0.48514,0.0
11.243849,0.48514,0.0
11.253553,0.48514,0.0
11.264269,0.48514,0.0
11.272969,0.48514,0.0
11.285226,0.48514,0.0
11.29265,0.48514,0.0
11.304353,0.48514,0.0
11.314832,0.48514,0.0
11.325718,0.48514,0.0
11.350567,0.48514,0.0
11.352213,0.48514,0.0
11.353111,0.48514,0.0
11.365935,0.48514,0.0
11.376977,0.48514,0.0
11.385276,0.48514,0.0
11.393315,0.48514,0.0
11.405257,0.48514,0.0
11.412663,0.48514,0.0
11.423526,0.48514,0.0
11.433125,0.48514,0.0
11.444273,0.48514,0.0
11.456907,0.48514,0.0
11.464463,0.48514,0.0
11.475567,0.48514,0.0
11.483229,0.48514,0.0
11.493153,0.48514,0.0
11.503014,0.48514,0.0
11.514485,0.48514,0.0
11.524747,0.48514,0.0
11.534792,0.48514,0.0
11.54314,0.48514,0.0
11.556955,0.48514,0.0
11.565253,0.48514,0.0
11.577797,0.48514,0.0
11.584661,0.48514,0.0
11.595372,0.48514,0.0
11.603937,0.48514,0.0
11.614742,0.48514,0.0
11.625322,0.48514,0.0
11.638183,0.48514,0.0
11.644153,0.48514,0.0
11.655645,0.48514,0.0
11.678398,0.48514,0.0
11.68897,0.48514,0.0
11.700156,0.48514,0.0
11.70698,0.48514,0.0
11.708691,0.48514,0.0
11.713856,0.48514,0.0
11.725391,0.48514,0.0
11.738067,0.48514,0.0
11.755782,0.48514,0.0
11.764442,0.48514,0.0
11.76662,0.48514,0.0
11.775613,0.48514,0.0
11.791727,0.48514,0.0
11.804281,0.48514,0.0
11.807387,0.48514,0.0
11.8129,0.48514,0.0
11.823016,0.48514,0.0
11.833176,0.48514,0.0
11.845184,0.48514,0.0
11.853273,0.48514,0.0
11.864184,0.48514,0.0
11.872649,0.48514,0.0
11.886318,0.48514,0.0
11.894001,0.48514,0.0
11.903636,0.48514,0.0
11.913159,0.48514,0.0
11.924626,0.48514,0.0
11.932856,0.48514,0.0
